,Age,BMI,Average Cost,Working Hours per Week
0,18,31.326159420289855,7086.217556362319,25.912727272727274
1,19,28.59691176470588,9747.909334558824,30.678370786516854
2,20,30.632758620689657,10159.697736206896,32.28021248339974
3,21,28.185714285714287,4730.464329642857,34.03472222222222
4,22,31.087678571428572,10012.932801785715,35.17124183006536
5,23,31.454464285714288,12419.820039642856,36.71835803876853
6,24,29.142678571428572,10648.015962142857,39.08897243107769
7,25,29.693928571428568,9838.365310714285,40.00713436385256
8,26,29.42892857142857,6133.825308571429,41.06496815286624
9,27,29.333571428571428,12184.701721428572,42.039520958083834
10,28,29.482142857142858,9069.187564285714,42.02768166089965
11,29,29.38314814814815,10430.158727037036,42.36531365313653
12,30,30.55759259259259,12719.11035814815,42.167247386759584
13,31,29.918333333333333,10196.980573333334,42.877252252252255
14,32,31.597692307692306,9220.30029076923,42.878019323671495
15,33,31.163076923076922,12351.532987307692,42.965714285714284
16,34,30.27403846153846,11613.52812076923,42.93792325056433
17,35,31.3948,11307.1820312,43.90867579908676
18,36,29.374200000000002,12204.476138,43.25723830734967
19,37,31.2166,18019.9118772,43.70629370629371
20,38,28.996599999999997,8102.733674,44.05320435308344
21,39,29.9102,11778.2429452,43.693627450980394
22,40,30.139074074074074,11772.25131,42.4382871536524
23,41,31.506851851851852,9653.745649629629,43.10519801980198
24,42,30.32814814814815,13061.038668888888,43.212820512820514
25,43,30.204444444444444,19267.27865333333,43.250649350649354
26,44,30.84425925925926,15859.396587037038,44.129834254143645
27,45,29.77896551724138,14830.199856206897,43.294277929155314
28,46,31.340862068965517,14342.59063862069,42.915875169606515
29,47,30.664310344827587,17653.99959310345,43.18785310734463
30,48,31.925689655172416,14632.500445172413,43.21178637200737
31,49,30.31392857142857,12696.006264285714,43.75389948006932
32,50,31.132241379310347,15663.003300689654,43.95348837209303
33,51,31.727068965517244,15682.25586724138,43.28403361344538
34,52,32.93603448275862,18256.269719310345,42.98953974895397
35,53,30.360892857142858,16020.930755,43.303879310344826
36,54,31.23428571428571,18758.546475357143,42.58072289156627
37,55,31.950000000000003,16164.54548846154,42.279236276849645
38,56,31.60096153846154,15025.515836538463,42.060109289617486
39,57,30.84442307692308,16447.185250000002,42.460893854748605
40,58,32.7182,13878.9281116,40.8551912568306
41,59,30.572,18895.8695316,41.969014084507045
42,60,30.33282608695652,21979.418507391303,40.541666666666664
43,61,32.54826086956522,22024.457608695655,38.8
44,62,32.342608695652174,19163.85657347826,38.96511627906977
45,63,31.923478260869565,19884.998460869567,37.0
46,64,32.976136363636364,23275.530837272727,34.49519230769231
