,Age,Average cost
0,18,7086.217556362319
1,19,9747.909334558824
2,20,10159.697736206896
3,21,4730.464329642857
4,22,10012.932801785715
5,23,12419.820039642856
6,24,10648.015962142857
7,25,9838.365310714285
8,26,6133.825308571429
9,27,12184.701721428572
10,28,9069.187564285714
11,29,10430.158727037036
12,30,12719.11035814815
13,31,10196.980573333334
14,32,9220.30029076923
15,33,12351.532987307692
16,34,11613.52812076923
17,35,11307.1820312
18,36,12204.476138
19,37,18019.9118772
20,38,8102.733674
21,39,11778.2429452
22,40,11772.25131
23,41,9653.745649629629
24,42,13061.038668888888
25,43,19267.27865333333
26,44,15859.396587037038
27,45,14830.199856206897
28,46,14342.59063862069
29,47,17653.99959310345
30,48,14632.500445172413
31,49,12696.006264285714
32,50,15663.003300689654
33,51,15682.25586724138
34,52,18256.269719310345
35,53,16020.930755
36,54,18758.546475357143
37,55,16164.54548846154
38,56,15025.515836538463
39,57,16447.185250000002
40,58,13878.9281116
41,59,18895.8695316
42,60,21979.418507391303
43,61,22024.457608695655
44,62,19163.85657347826
45,63,19884.998460869567
46,64,23275.530837272727
